id;pname;gender;fname;canonical_fname;oname;born_on_year;begin_on_year;begin_on_month;begin_on_day;end_on_year;end_on_month;end_on_day;nationality
4947;Haakon Vigander;0;LoN Temporary Collaborator;LoN First Division;LoN Information Section;;1929;8;26;1929;9;16;Norwegian
8742;Arne  Giverholt;0;LoN Assistant;LoN Second Division;LoN Information Section;1882;1925;4;1;1925;9;30;Norwegian
8742;Arne  Giverholt;0;LoN Assistant;LoN Second Division;LoN Information Section;1882;1933;2;16;1933;4;5;Norwegian
8742;Arne  Giverholt;0;LoN Assistant;LoN Second Division;LoN Information Section;1882;1933;4;26;1933;6;10;Norwegian
5374;Victor  Mogens;0;LoN Temporary Collaborator;LoN First Division;LoN Information Section;;1930;9;8;1930;9;29;Norwegian
5286;Dr. A. A. Koskenjaakko;0;LoN Temporary Collaborator;LoN First Division;LoN Information Section;;1931;8;31;1931;9;21;Norwegian
5536;Ingvald Forfang;0;LoN Temporary Collaborator;LoN First Division;LoN Information Section;;1931;8;31;1931;9;21;Norwegian
11520;Edith Hofgaard;1;LoN Shorthand Typist;LoN Second Division;LoN Pool;1904;1930;4;1;1939;6;11;Norwegian
11520;Edith Hofgaard;1;LoN Shorthand Typist;LoN Second Division;LoN Mandates Section;1904;1939;6;12;1940;11;30;Norwegian
11520;Edith Hofgaard;1;LoN Shorthand Typist;LoN Second Division;LoN Personnel Office;1904;1944;6;7;1944;9;30;Norwegian
11520;Edith Hofgaard;1;LoN Shorthand Typist;LoN Second Division;LoN Pool;1904;1944;10;1;1946;7;10;Norwegian
5191;Rasmus Stauri;0;LoN Temporary Collaborator;LoN First Division;LoN Information Section;;1931;8;31;1931;9;21;Norwegian
10393;Elisa Jebsen;1;LoN Librarian;LoN First Division;LoN Library;1885;1925;1;5;1940;5;17;Norwegian
11491;Ellen Rolfsen;1;LoN Cataloguer;LoN Second Division;LoN Library;1895;1920;7;3;1923;12;31;Norwegian
11269;Gunhild Lippestad;1;LoN Secretary;LoN First Division;LoN Administrative and Minorities Section;1885;1920;4;15;1933;10;27;Norwegian
11269;Gunhild Lippestad;1;LoN Secretary;LoN First Division;LoN Political Section;1885;1933;10;27;1940;3;31;Norwegian
5494;Berit Gulliksen;1;LoN Temporary Collaborator;LoN First Division;LoN Information Section;;1933;9;21;1933;10;12;Norwegian
10154;Hedvig Schaanning;1;LoN Cataloguer;LoN Second Division;LoN Library;1893;1921;5;1;1922;4;15;Norwegian
11231;Henriette Rieber-Mohn;1;LoN Shorthand Typist;LoN Second Division;LoN Information Section;1889;1924;5;1;1940;11;30;Norwegian
11497;Ingrid Heum;1;LoN Cataloguer;LoN Second Division;LoN Library;1898;1922;5;15;1925;1;8;Norwegian
5354;Edvard Hambro;0;LoN Temporary Collaborator;LoN First Division;LoN Information Section;1911;1933;9;22;1933;10;13;Norwegian
8593;Kaare Filseth;0;LoN Senior Assistant;LoN First Division;LoN Information Section;1901;1923;10;10;1924;5;15;Norwegian
10220;Karen Seip;1;LoN Cataloguer;LoN Second Division;LoN Library;1890;1921;3;17;1921;6;17;Norwegian
5376;Lous  Mohr;1;LoN Temporary Collaborator;LoN First Division;LoN Information Section;;1934;9;7;1934;9;28;Norwegian
9500;Mona Nyhuus;1;LoN Cataloguer;LoN Second Division;LoN Library;1899;1920;10;2;1921;5;13;Norwegian
4974;Peter Martin Anker;0;LoN Member of Section;LoN First Division;LoN Mandates Section;1903;1931;8;1;1939;6;12;Norwegian
4974;Peter Martin Anker;0;LoN Member of Section;LoN First Division;LoN Department I (Department of General Affairs);1903;1939;6;12;1946;7;31;Norwegian
10268;Rasmus Ingvald Berentson Skylstad;0;LoN Director;LoN First Division;LoN Minorities Section;1893;1938;1;1;1942;3;1;Norwegian
5308;Agnes Jorgensen;1;LoN Temporary Collaborator;LoN First Division;LoN Information Section;;1935;9;5;1935;9;26;Norwegian
4911;Birgit Nissen;1;LoN Temporary Collaborator;LoN First Division;LoN Information Section;;1937;9;9;1937;9;30;Norwegian
9648;Tordis Petersen;0;LoN Order Clerk;LoN Second Division;LoN Library;;1921;6;13;1921;10;7;Norwegian
5192;Reverend Jacob Steen Narvig;0;LoN Temporary Collaborator;LoN First Division;LoN Information Section;;1938;9;9;1938;9;30;Norwegian
4908;Maria Nielsen;1;LoN Temporary Collaborator;LoN First Division;LoN Information Section;;1928;12;5;1928;12;19;Dane
4924;Christian Olsen;0;LoN Member of Section;LoN First Division;LoN Economic and Financial Section;;1923;2;1;1924;7;31;Dane
5031;Th. C. Terndrup;0;LoN Temporary Collaborator;LoN First Division;LoN Information Section;;1929;8;30;1929;9;6;Dane
4907;Ingvad Nielsen;0;LoN Temporary Collaborator;LoN First Division;LoN Information Section;;1930;9;8;1930;9;29;Dane
11087;Dorrit Ree;1;Clerk;Clerk;LoN Health Section;1898;1927;3;12;1927;12;7;Dane
5204;Dr. Knud Stouman;0;LoN Member of Section;LoN First Division;LoN Health Section;1889;1921;9;1;1930;6;30;Dane
5204;Dr. Knud Stouman;0;LoN Statistician;LoN First Division;LoN League of Nations;1889;1944;5;15;1945;12;31;Dane
5075;Bodil Begtrup;1;LoN Temporary Collaborator;LoN First Division;LoN Information Section;;1931;8;31;1931;9;21;Dane
10723;Edy Jensen;0;LoN Messenger;LoN Second Division;LoN Information Section;1905;1924;9;4;;;;Dane
5174;Magister Morton Bredsdorff;0;LoN Temporary Collaborator;LoN First Division;LoN Information Section;;1931;8;31;1931;9;21;Dane
5525;Finn Tage Blichfeldt Friis;0;LoN Member of Section;LoN First Division;LoN Mandates Section;1897;1923;7;1;1930;9;1;Dane, Dane
5525;Finn Tage Blichfeldt Friis;0;LoN Member of Section;LoN First Division;LoN Disarmament Section;1897;1930;9;1;1940;5;27;Dane, Dane
10662;Fritze Louise Fernanda Wedell;1;LoN Clerk;LoN Second Division;LoN Library;1895;1921;3;2;1921;5;2;Dane
10867;Gabrielle Juncker-Rohde;1;LoN Assistant;LoN Second Division;LoN Health Section;1904;1928;1;16;1939;7;1;Dane
10867;Gabrielle Juncker-Rohde;1;Member;Member;LoN Health Section;1904;1939;7;1;1945;5;31;Dane
5309;Herald Jørgensen;0;LoN Temporary Collaborator;LoN First Division;LoN Information Section;;1932;9;19;1932;10;10;Dane
5212;Højbjerg Christensen;0;LoN Temporary Collaborator;LoN First Division;LoN Information Section;;1933;7;10;1933;7;23;Dane
5565;Helmer Rostgaard Gommesen Rosting;0;LoN Member of Section;LoN First Division;LoN Administrative and Minorities Section;;1920;5;16;1936;1;15;Dane
5428;Thora Daugaard;1;LoN Temporary Collaborator;LoN First Division;LoN Information Section;1874;1934;9;9;1934;9;30;Dane
5144;Axel Serup;0;LoN Temporary Collaborator;LoN First Division;LoN Information Section;;1935;9;5;1935;9;26;Dane
5310;Kaalund Jorgensen;0;LoN Temporary Collaborator;LoN First Division;LoN Information Section;;1935;9;5;1935;9;26;Dane
9468;Karen Neumann;1;LoN Assistant;LoN Second Division;LoN Library;1891;1921;11;25;1922;5;30;Dane
9468;Karen Neumann;1;LoN Senior Assistant;LoN First Division;LoN Library;1891;1922;5;31;1922;9;30;Dane
9647;Karen Petersen;1;LoN Clerk;LoN Second Division;LoN Staff Pensions Fund;1911;1938;2;14;1944;2;29;Dane
9647;Karen Petersen;1;LoN Clerk;LoN Second Division;LoN Treasury;1911;1944;3;1;1945;5;31;Dane
9647;Karen Petersen;1;LoN Member of Section;LoN First Division;LoN Treasury;1911;1945;6;1;1946;8;19;Dane
10918;Laurits Thomas Arnskov;0;LoN Attaché;LoN First Division;LoN Information Section;1878;1925;10;1;1925;12;31;Dane
5288;Ludwig Thorwald de Krabbe;0;LoN Member of Section;LoN First Division;LoN Information Section;1884;1921;4;1;1931;4;16;Dane
5288;Ludwig Thorwald de Krabbe;0;League of Nations staff;League of Nations staff;LoN League of Nations;1884;1924;8;1;1925;12;31;Dane
5288;Ludwig Thorwald de Krabbe;0;LoN Member of Section;LoN First Division;LoN Administrative and Minorities Section;1884;1931;4;16;1933;10;27;Dane
5288;Ludwig Thorwald de Krabbe;0;LoN Member of Section;LoN First Division;LoN Political Section;1884;1935;10;27;1939;4;30;Dane
10790;Major Carl Lund Wright;0;LoN Assistant;LoN Second Division;LoN Financial Section & Economic Intelligence Service;1906;1931;1;5;1934;10;26;Dane
10790;Major Carl Lund Wright;0;LoN Assistant;LoN Second Division;LoN Financial Section & Economic Intelligence Service;1906;1935;3;1;1936;3;31;Dane
5317;Erik Bruel;0;LoN Temporary Collaborator;LoN First Division;LoN Information Section;;1937;11;20;1937;12;11;Dane
5462;Eichelberger;0;LoN Temporary Collaborator;LoN First Division;LoN Information Section;;1938;9;9;1938;9;30;Dane
5120;Peter Christian Schou;0;LoN Director;LoN First Division;LoN Minorities Section;1883;1936;7;2;1937;6;30;Dane
10828;Signe Johanne Andersen;1;LoN Statistical Clerk;LoN Second Division;LoN Economic and Financial Section;1898;1922;11;15;1923;3;1;Dane
10828;Signe Johanne Andersen;1;LoN Shorthand Typist;LoN Second Division;LoN Pool;1898;1922;7;6;1922;11;14;Dane
10828;Signe Johanne Andersen;1;LoN Junior Assistant;LoN Second Division;LoN Economic and Financial Section;1898;1923;3;1;1925;4;15;Dane
10828;Signe Johanne Andersen;1;LoN Senior Assistant;LoN First Division;LoN Economic and Financial Section;1898;1925;4;15;1927;6;1;Dane
10828;Signe Johanne Andersen;1;LoN Member of the Intermediate Class;LoN Second Division;LoN Secretary-General's Office;1898;1927;6;1;1928;5;12;Dane
11411;Sigurd Hartz-Rasmussen;0;LoN Senior Assistant;LoN First Division;LoN Library;1905;1931;5;13;1940;12;31;Dane
5393;Âke  Hammarskjöld;0;LoN Member of Section;LoN First Division;LoN Legal Section;1893;1920;3;19;1922;;;Swedish
5320;Prof. A. Brusewitz;0;LoN Temporary Collaborator;LoN First Division;LoN Information Section;;1927;6;;;;;Swedish
5447;Bengt Helger;0;LoN Expert/Specialist;LoN First Division;LoN Financial Section & Economic Intelligence Service;;1938;1;24;1939;3;28;Swedish
5483;Bertil Arne Renborg;0;LoN Chief of Section;LoN First Division;LoN Social Questions and Opium Traffic Section;;1939;11;1;1946;8;31;Swedish
4922;Bertil Gotthard Ohlin;0;LoN Member of Section;LoN First Division;LoN Economic and Financial Section;;1931;1;1;1931;10;15;Swedish
5375;Paul Erik Alfred Mohn;0;LoN Temporary Collaborator;LoN First Division;LoN Information Section;1898;1929;8;26;1929;9;16;Swedish
5319;C.J. Brunskog;0;LoN Temporary Collaborator;LoN First Division;LoN Information Section;;1930;9;8;1930;9;29;Swedish
11268;Dr. Helgo Lindstedt;0;LoN Statistical Assistant;LoN Second Division;LoN Health Section;1887;1925;12;11;1926;12;31;Swedish
10483;Elena Thorsson;1;LoN Shorthand Typist;LoN Second Division;LoN Pool;1901;1924;8;28;1925;5;12;Swedish
5238;John Lindgren;0;LoN Temporary Collaborator;LoN First Division;LoN Information Section;;1931;8;31;1931;9;21;Swedish
5231;Essy Hjördis Lehmann;1;LoN Assistant;LoN Second Division;LoN Communications and Transit Section;1893;1921;6;27;1922;1;1;Swedish
5231;Essy Hjördis Lehmann;1;LoN Assistant;LoN Second Division;LoN Economic and Financial Section;1893;1921;5;5;1921;6;27;Swedish
5231;Essy Hjördis Lehmann;1;LoN Senior Assistant;LoN First Division;LoN Communications and Transit Section;1893;1922;1;1;1923;1;1;Swedish
5231;Essy Hjördis Lehmann;1;LoN Secretary;LoN First Division;LoN Communications and Transit Section;1893;1923;1;1;1931;1;1;Swedish
5231;Essy Hjördis Lehmann;1;LoN Member of Section;LoN First Division;LoN Communications and Transit Section;1893;1931;1;1;1939;6;15;Swedish
11502;Folke Hillgerdt;0;LoN Statistician;LoN First Division;LoN Economic and Financial Section;1894;1927;4;1;1946;7;31;Swedish
5197;Greta Stendahl;1;LoN Temporary Collaborator;LoN First Division;LoN Information Section;;1934;9;7;1934;9;28;Swedish
5451;Carin Hermelin;1;LoN Temporary Collaborator;LoN First Division;LoN Information Section;;1935;9;5;1935;9;26;Swedish
5563;Johan Ansgar Esaias Rosenborg;0;LoN Member of Section;LoN First Division;LoN Financial Section & Economic Intelligence Service;;1921;7;20;1946;7;31;Swedish
5237;John Lindberg;0;LoN Member of Section;LoN First Division;LoN Financial Section & Economic Intelligence Service;1901;1937;11;8;1939;7;15;Swedish
8725;Karl Sigurd Torsten Gihl;0;LoN Registrar General;LoN Second Division;LoN Registry;1889;1924;9;8;1926;5;31;Swedish
11352;Katharina Broberg;1;LoN Assistant;LoN Second Division;LoN Social Questions and Opium Traffic Section;1899;1930;5;30;1930;10;15;Swedish
11352;Katharina Broberg;1;LoN Assistant;LoN Second Division;LoN Social Questions and Opium Traffic Section;1899;1931;4;17;1931;6;16;Swedish
5549;Olaf Ripa;0;LoN Temporary Collaborator;LoN First Division;LoN Information Section;;1936;9;17;1936;10;7;Swedish
5202;Herman Stolpe;0;LoN Temporary Collaborator;LoN First Division;LoN Information Section;;1937;7;2;23;7;1937;Swedish
11841;Märta Blomstedt;1;LoN Clerical Assistant;LoN Second Division;LoN Information Section;1898;1921;5;17;1923;7;21;Swedish
10428;Olli Linnéa Fredrika Augusta Svedberg;1;LoN Shorthand Typist;LoN Second Division;LoN Social Questions and Opium Traffic Section;1903;1930;10;15;1931;1;15;Swedish
5042;Oscar Uno Konrad Thorsing;0;LoN Member of Section;LoN First Division;LoN Information Section;1896;1925;10;1;1924;12;31;Swedish
10729;Otto Johansson;0;LoN Assistant;LoN Second Division;LoN Information Section;;1932;1;26;1932;7;25;Swedish
5302;Per Jacobsson;0;LoN Member of Section;LoN First Division;LoN Economic and Financial Section;1894;1920;4;23;1928;12;31;Swedish
5463;Erik Einan Ekstrand ;0;LoN Director;LoN First Division;LoN Social Questions and Opium Traffic Section;1880;1931;4;7;1939;7;4;Swedish
5131;Torsten Cederlund;0;LoN Temporary Collaborator;LoN First Division;LoN Information Section;;1938;9;9;1938;9;30;Swedish
10269;Ruth Emelie Viktoria Slagbrand;1;LoN Stenographer;LoN Second Division;LoN Pool;1900;1925;9;7;;;;Swedish
