1920;1921;1922;1923;1924;1925;1926;1927;1928;1929;1930;1931;1932;1933;1934;1935;1936;1937;1938;1939;1940;1941;1942;1943;1944;1945;1946;1947;1948
 Uruguay; Uruguay; Uruguay; Uruguay; Uruguay; Uruguay; Uruguay; Uruguay; Uruguay; Uruguay; Uruguay; Uruguay; Uruguay; Uruguay; Uruguay; Uruguay; Uruguay; Uruguay; Uruguay; Uruguay; Uruguay; Uruguay; Uruguay; Uruguay; Uruguay; Uruguay; Uruguay; Uruguay; Uruguay
 Venezuela (withdrew 12 July 1938); Venezuela (withdrew 12 July 1938); Venezuela (withdrew 12 July 1938); Venezuela (withdrew 12 July 1938); Venezuela (withdrew 12 July 1938); Venezuela (withdrew 12 July 1938); Venezuela (withdrew 12 July 1938); Venezuela (withdrew 12 July 1938); Venezuela (withdrew 12 July 1938); Venezuela (withdrew 12 July 1938); Venezuela (withdrew 12 July 1938); Venezuela (withdrew 12 July 1938); Venezuela (withdrew 12 July 1938); Venezuela (withdrew 12 July 1938); Venezuela (withdrew 12 July 1938); Venezuela (withdrew 12 July 1938); Venezuela (withdrew 12 July 1938); Venezuela (withdrew 12 July 1938); Venezuela (withdrew 12 July 1938);;;;;;;;;;
 Kingdom of Yugoslavia (known as Kingdom of Serbs, Croats and Slovenes until 1929)[6]; Kingdom of Yugoslavia (known as Kingdom of Serbs, Croats and Slovenes until 1929)[6]; Kingdom of Yugoslavia (known as Kingdom of Serbs, Croats and Slovenes until 1929)[6]; Kingdom of Yugoslavia (known as Kingdom of Serbs, Croats and Slovenes until 1929)[6]; Kingdom of Yugoslavia (known as Kingdom of Serbs, Croats and Slovenes until 1929)[6]; Kingdom of Yugoslavia (known as Kingdom of Serbs, Croats and Slovenes until 1929)[6]; Kingdom of Yugoslavia (known as Kingdom of Serbs, Croats and Slovenes until 1929)[6]; Kingdom of Yugoslavia (known as Kingdom of Serbs, Croats and Slovenes until 1929)[6]; Kingdom of Yugoslavia (known as Kingdom of Serbs, Croats and Slovenes until 1929)[6]; Kingdom of Yugoslavia (known as Kingdom of Serbs, Croats and Slovenes until 1929)[6]; Kingdom of Yugoslavia (known as Kingdom of Serbs, Croats and Slovenes until 1929)[6]; Kingdom of Yugoslavia (known as Kingdom of Serbs, Croats and Slovenes until 1929)[6]; Kingdom of Yugoslavia (known as Kingdom of Serbs, Croats and Slovenes until 1929)[6]; Kingdom of Yugoslavia (known as Kingdom of Serbs, Croats and Slovenes until 1929)[6]; Kingdom of Yugoslavia (known as Kingdom of Serbs, Croats and Slovenes until 1929)[6]; Kingdom of Yugoslavia (known as Kingdom of Serbs, Croats and Slovenes until 1929)[6]; Kingdom of Yugoslavia (known as Kingdom of Serbs, Croats and Slovenes until 1929)[6]; Kingdom of Yugoslavia (known as Kingdom of Serbs, Croats and Slovenes until 1929)[6]; Kingdom of Yugoslavia (known as Kingdom of Serbs, Croats and Slovenes until 1929)[6]; Kingdom of Yugoslavia (known as Kingdom of Serbs, Croats and Slovenes until 1929)[6]; Kingdom of Yugoslavia (known as Kingdom of Serbs, Croats and Slovenes until 1929)[6]; Kingdom of Yugoslavia (known as Kingdom of Serbs, Croats and Slovenes until 1929)[6]; Kingdom of Yugoslavia (known as Kingdom of Serbs, Croats and Slovenes until 1929)[6]; Kingdom of Yugoslavia (known as Kingdom of Serbs, Croats and Slovenes until 1929)[6]; Kingdom of Yugoslavia (known as Kingdom of Serbs, Croats and Slovenes until 1929)[6]; Kingdom of Yugoslavia (known as Kingdom of Serbs, Croats and Slovenes until 1929)[6]; Kingdom of Yugoslavia (known as Kingdom of Serbs, Croats and Slovenes until 1929)[6]; Kingdom of Yugoslavia (known as Kingdom of Serbs, Croats and Slovenes until 1929)[6]; Kingdom of Yugoslavia (known as Kingdom of Serbs, Croats and Slovenes until 1929)[6]
1920[edit];1920[edit];1920[edit];1920[edit];1920[edit];1920[edit];1920[edit];1920[edit];1920[edit];1920[edit];1920[edit];1920[edit];1920[edit];1920[edit];1920[edit];1920[edit];1920[edit];1920[edit];1920[edit];1920[edit];1920[edit];1920[edit];1920[edit];1920[edit];1920[edit];1920[edit];1920[edit];1920[edit];1920[edit]
" Austria (joined 15 December 1920; ceased to exist 13 March 1938)";" Austria (joined 15 December 1920; ceased to exist 13 March 1938)";" Austria (joined 15 December 1920; ceased to exist 13 March 1938)";" Austria (joined 15 December 1920; ceased to exist 13 March 1938)";" Austria (joined 15 December 1920; ceased to exist 13 March 1938)";" Austria (joined 15 December 1920; ceased to exist 13 March 1938)";" Austria (joined 15 December 1920; ceased to exist 13 March 1938)";" Austria (joined 15 December 1920; ceased to exist 13 March 1938)";" Austria (joined 15 December 1920; ceased to exist 13 March 1938)";" Austria (joined 15 December 1920; ceased to exist 13 March 1938)";" Austria (joined 15 December 1920; ceased to exist 13 March 1938)";" Austria (joined 15 December 1920; ceased to exist 13 March 1938)";" Austria (joined 15 December 1920; ceased to exist 13 March 1938)";" Austria (joined 15 December 1920; ceased to exist 13 March 1938)";" Austria (joined 15 December 1920; ceased to exist 13 March 1938)";" Austria (joined 15 December 1920; ceased to exist 13 March 1938)";" Austria (joined 15 December 1920; ceased to exist 13 March 1938)";" Austria (joined 15 December 1920; ceased to exist 13 March 1938)";" Austria (joined 15 December 1920; ceased to exist 13 March 1938)";;;;;;;;;;
 Bulgaria (joined 16 December 1920); Bulgaria (joined 16 December 1920); Bulgaria (joined 16 December 1920); Bulgaria (joined 16 December 1920); Bulgaria (joined 16 December 1920); Bulgaria (joined 16 December 1920); Bulgaria (joined 16 December 1920); Bulgaria (joined 16 December 1920); Bulgaria (joined 16 December 1920); Bulgaria (joined 16 December 1920); Bulgaria (joined 16 December 1920); Bulgaria (joined 16 December 1920); Bulgaria (joined 16 December 1920); Bulgaria (joined 16 December 1920); Bulgaria (joined 16 December 1920); Bulgaria (joined 16 December 1920); Bulgaria (joined 16 December 1920); Bulgaria (joined 16 December 1920); Bulgaria (joined 16 December 1920); Bulgaria (joined 16 December 1920); Bulgaria (joined 16 December 1920); Bulgaria (joined 16 December 1920); Bulgaria (joined 16 December 1920); Bulgaria (joined 16 December 1920); Bulgaria (joined 16 December 1920); Bulgaria (joined 16 December 1920); Bulgaria (joined 16 December 1920); Bulgaria (joined 16 December 1920); Bulgaria (joined 16 December 1920)
" Costa Rica (joined 16 December 1920; withdrew 22 January 1925)";" Costa Rica (joined 16 December 1920; withdrew 22 January 1925)";" Costa Rica (joined 16 December 1920; withdrew 22 January 1925)";" Costa Rica (joined 16 December 1920; withdrew 22 January 1925)";" Costa Rica (joined 16 December 1920; withdrew 22 January 1925)";" Costa Rica (joined 16 December 1920; withdrew 22 January 1925)";;;;;;;;;;;;;;;;;;;;;;;
 Finland (joined 16 December 1920)[7]; Finland (joined 16 December 1920)[7]; Finland (joined 16 December 1920)[7]; Finland (joined 16 December 1920)[7]; Finland (joined 16 December 1920)[7]; Finland (joined 16 December 1920)[7]; Finland (joined 16 December 1920)[7]; Finland (joined 16 December 1920)[7]; Finland (joined 16 December 1920)[7]; Finland (joined 16 December 1920)[7]; Finland (joined 16 December 1920)[7]; Finland (joined 16 December 1920)[7]; Finland (joined 16 December 1920)[7]; Finland (joined 16 December 1920)[7]; Finland (joined 16 December 1920)[7]; Finland (joined 16 December 1920)[7]; Finland (joined 16 December 1920)[7]; Finland (joined 16 December 1920)[7]; Finland (joined 16 December 1920)[7]; Finland (joined 16 December 1920)[7]; Finland (joined 16 December 1920)[7]; Finland (joined 16 December 1920)[7]; Finland (joined 16 December 1920)[7]; Finland (joined 16 December 1920)[7]; Finland (joined 16 December 1920)[7]; Finland (joined 16 December 1920)[7]; Finland (joined 16 December 1920)[7]; Finland (joined 16 December 1920)[7]; Finland (joined 16 December 1920)[7]
 Luxembourg (joined 16 December 1920)[8]; Luxembourg (joined 16 December 1920)[8]; Luxembourg (joined 16 December 1920)[8]; Luxembourg (joined 16 December 1920)[8]; Luxembourg (joined 16 December 1920)[8]; Luxembourg (joined 16 December 1920)[8]; Luxembourg (joined 16 December 1920)[8]; Luxembourg (joined 16 December 1920)[8]; Luxembourg (joined 16 December 1920)[8]; Luxembourg (joined 16 December 1920)[8]; Luxembourg (joined 16 December 1920)[8]; Luxembourg (joined 16 December 1920)[8]; Luxembourg (joined 16 December 1920)[8]; Luxembourg (joined 16 December 1920)[8]; Luxembourg (joined 16 December 1920)[8]; Luxembourg (joined 16 December 1920)[8]; Luxembourg (joined 16 December 1920)[8]; Luxembourg (joined 16 December 1920)[8]; Luxembourg (joined 16 December 1920)[8]; Luxembourg (joined 16 December 1920)[8]; Luxembourg (joined 16 December 1920)[8]; Luxembourg (joined 16 December 1920)[8]; Luxembourg (joined 16 December 1920)[8]; Luxembourg (joined 16 December 1920)[8]; Luxembourg (joined 16 December 1920)[8]; Luxembourg (joined 16 December 1920)[8]; Luxembourg (joined 16 December 1920)[8]; Luxembourg (joined 16 December 1920)[8]; Luxembourg (joined 16 December 1920)[8]
 Albania (joined 17 December 1920)[9]; Albania (joined 17 December 1920)[9]; Albania (joined 17 December 1920)[9]; Albania (joined 17 December 1920)[9]; Albania (joined 17 December 1920)[9]; Albania (joined 17 December 1920)[9]; Albania (joined 17 December 1920)[9]; Albania (joined 17 December 1920)[9]; Albania (joined 17 December 1920)[9]; Albania (joined 17 December 1920)[9]; Albania (joined 17 December 1920)[9]; Albania (joined 17 December 1920)[9]; Albania (joined 17 December 1920)[9]; Albania (joined 17 December 1920)[9]; Albania (joined 17 December 1920)[9]; Albania (joined 17 December 1920)[9]; Albania (joined 17 December 1920)[9]; Albania (joined 17 December 1920)[9]; Albania (joined 17 December 1920)[9]; Albania (joined 17 December 1920)[9]; Albania (joined 17 December 1920)[9]; Albania (joined 17 December 1920)[9]; Albania (joined 17 December 1920)[9]; Albania (joined 17 December 1920)[9]; Albania (joined 17 December 1920)[9]; Albania (joined 17 December 1920)[9]; Albania (joined 17 December 1920)[9]; Albania (joined 17 December 1920)[9]; Albania (joined 17 December 1920)[9]
;Estonia (joined 22 September 1921, occupied and annexed by the USSR in 1940);Estonia (joined 22 September 1921, occupied and annexed by the USSR in 1940);Estonia (joined 22 September 1921, occupied and annexed by the USSR in 1940);Estonia (joined 22 September 1921, occupied and annexed by the USSR in 1940);Estonia (joined 22 September 1921, occupied and annexed by the USSR in 1940);Estonia (joined 22 September 1921, occupied and annexed by the USSR in 1940);Estonia (joined 22 September 1921, occupied and annexed by the USSR in 1940);Estonia (joined 22 September 1921, occupied and annexed by the USSR in 1940);Estonia (joined 22 September 1921, occupied and annexed by the USSR in 1940);Estonia (joined 22 September 1921, occupied and annexed by the USSR in 1940);Estonia (joined 22 September 1921, occupied and annexed by the USSR in 1940);Estonia (joined 22 September 1921, occupied and annexed by the USSR in 1940);Estonia (joined 22 September 1921, occupied and annexed by the USSR in 1940);Estonia (joined 22 September 1921, occupied and annexed by the USSR in 1940);Estonia (joined 22 September 1921, occupied and annexed by the USSR in 1940);Estonia (joined 22 September 1921, occupied and annexed by the USSR in 1940);Estonia (joined 22 September 1921, occupied and annexed by the USSR in 1940);Estonia (joined 22 September 1921, occupied and annexed by the USSR in 1940);Estonia (joined 22 September 1921, occupied and annexed by the USSR in 1940);Estonia (joined 22 September 1921, occupied and annexed by the USSR in 1940);;;;;;;;
; Latvia (joined 22 September 1921, occupied and annexed by the USSR in 1940); Latvia (joined 22 September 1921, occupied and annexed by the USSR in 1940); Latvia (joined 22 September 1921, occupied and annexed by the USSR in 1940); Latvia (joined 22 September 1921, occupied and annexed by the USSR in 1940); Latvia (joined 22 September 1921, occupied and annexed by the USSR in 1940); Latvia (joined 22 September 1921, occupied and annexed by the USSR in 1940); Latvia (joined 22 September 1921, occupied and annexed by the USSR in 1940); Latvia (joined 22 September 1921, occupied and annexed by the USSR in 1940); Latvia (joined 22 September 1921, occupied and annexed by the USSR in 1940); Latvia (joined 22 September 1921, occupied and annexed by the USSR in 1940); Latvia (joined 22 September 1921, occupied and annexed by the USSR in 1940); Latvia (joined 22 September 1921, occupied and annexed by the USSR in 1940); Latvia (joined 22 September 1921, occupied and annexed by the USSR in 1940); Latvia (joined 22 September 1921, occupied and annexed by the USSR in 1940); Latvia (joined 22 September 1921, occupied and annexed by the USSR in 1940); Latvia (joined 22 September 1921, occupied and annexed by the USSR in 1940); Latvia (joined 22 September 1921, occupied and annexed by the USSR in 1940); Latvia (joined 22 September 1921, occupied and annexed by the USSR in 1940); Latvia (joined 22 September 1921, occupied and annexed by the USSR in 1940); Latvia (joined 22 September 1921, occupied and annexed by the USSR in 1940);;;;;;;;
; Lithuania (joined 22 September 1921, occupied and annexed by the USSR in 1940); Lithuania (joined 22 September 1921, occupied and annexed by the USSR in 1940); Lithuania (joined 22 September 1921, occupied and annexed by the USSR in 1940); Lithuania (joined 22 September 1921, occupied and annexed by the USSR in 1940); Lithuania (joined 22 September 1921, occupied and annexed by the USSR in 1940); Lithuania (joined 22 September 1921, occupied and annexed by the USSR in 1940); Lithuania (joined 22 September 1921, occupied and annexed by the USSR in 1940); Lithuania (joined 22 September 1921, occupied and annexed by the USSR in 1940); Lithuania (joined 22 September 1921, occupied and annexed by the USSR in 1940); Lithuania (joined 22 September 1921, occupied and annexed by the USSR in 1940); Lithuania (joined 22 September 1921, occupied and annexed by the USSR in 1940); Lithuania (joined 22 September 1921, occupied and annexed by the USSR in 1940); Lithuania (joined 22 September 1921, occupied and annexed by the USSR in 1940); Lithuania (joined 22 September 1921, occupied and annexed by the USSR in 1940); Lithuania (joined 22 September 1921, occupied and annexed by the USSR in 1940); Lithuania (joined 22 September 1921, occupied and annexed by the USSR in 1940); Lithuania (joined 22 September 1921, occupied and annexed by the USSR in 1940); Lithuania (joined 22 September 1921, occupied and annexed by the USSR in 1940); Lithuania (joined 22 September 1921, occupied and annexed by the USSR in 1940); Lithuania (joined 22 September 1921, occupied and annexed by the USSR in 1940);;;;;;;;
;;"Kingdom of Hungary (joined 18 September 1922; withdrew 11 April 1939)";"Kingdom of Hungary (joined 18 September 1922; withdrew 11 April 1939)";"Kingdom of Hungary (joined 18 September 1922; withdrew 11 April 1939)";"Kingdom of Hungary (joined 18 September 1922; withdrew 11 April 1939)";"Kingdom of Hungary (joined 18 September 1922; withdrew 11 April 1939)";"Kingdom of Hungary (joined 18 September 1922; withdrew 11 April 1939)";"Kingdom of Hungary (joined 18 September 1922; withdrew 11 April 1939)";"Kingdom of Hungary (joined 18 September 1922; withdrew 11 April 1939)";"Kingdom of Hungary (joined 18 September 1922; withdrew 11 April 1939)";"Kingdom of Hungary (joined 18 September 1922; withdrew 11 April 1939)";"Kingdom of Hungary (joined 18 September 1922; withdrew 11 April 1939)";"Kingdom of Hungary (joined 18 September 1922; withdrew 11 April 1939)";"Kingdom of Hungary (joined 18 September 1922; withdrew 11 April 1939)";"Kingdom of Hungary (joined 18 September 1922; withdrew 11 April 1939)";"Kingdom of Hungary (joined 18 September 1922; withdrew 11 April 1939)";"Kingdom of Hungary (joined 18 September 1922; withdrew 11 April 1939)";"Kingdom of Hungary (joined 18 September 1922; withdrew 11 April 1939)";"Kingdom of Hungary (joined 18 September 1922; withdrew 11 April 1939)";;;;;;;;;
;;; Irish Free State (joined 10 September 1923, known as Ireland from 1937); Irish Free State (joined 10 September 1923, known as Ireland from 1937); Irish Free State (joined 10 September 1923, known as Ireland from 1937); Irish Free State (joined 10 September 1923, known as Ireland from 1937); Irish Free State (joined 10 September 1923, known as Ireland from 1937); Irish Free State (joined 10 September 1923, known as Ireland from 1937); Irish Free State (joined 10 September 1923, known as Ireland from 1937); Irish Free State (joined 10 September 1923, known as Ireland from 1937); Irish Free State (joined 10 September 1923, known as Ireland from 1937); Irish Free State (joined 10 September 1923, known as Ireland from 1937); Irish Free State (joined 10 September 1923, known as Ireland from 1937); Irish Free State (joined 10 September 1923, known as Ireland from 1937); Irish Free State (joined 10 September 1923, known as Ireland from 1937); Irish Free State (joined 10 September 1923, known as Ireland from 1937);;;;;;;;;;;;
;;; Abyssinia (joined 28 September 1923); Abyssinia (joined 28 September 1923); Abyssinia (joined 28 September 1923); Abyssinia (joined 28 September 1923); Abyssinia (joined 28 September 1923); Abyssinia (joined 28 September 1923); Abyssinia (joined 28 September 1923); Abyssinia (joined 28 September 1923); Abyssinia (joined 28 September 1923); Abyssinia (joined 28 September 1923); Abyssinia (joined 28 September 1923); Abyssinia (joined 28 September 1923); Abyssinia (joined 28 September 1923); Abyssinia (joined 28 September 1923); Abyssinia (joined 28 September 1923); Abyssinia (joined 28 September 1923); Abyssinia (joined 28 September 1923); Abyssinia (joined 28 September 1923); Abyssinia (joined 28 September 1923); Abyssinia (joined 28 September 1923); Abyssinia (joined 28 September 1923); Abyssinia (joined 28 September 1923); Abyssinia (joined 28 September 1923); Abyssinia (joined 28 September 1923); Abyssinia (joined 28 September 1923); Abyssinia (joined 28 September 1923)
;;;;Dominican Republic (joined 28 September 1924);Dominican Republic (joined 28 September 1924);Dominican Republic (joined 28 September 1924);Dominican Republic (joined 28 September 1924);Dominican Republic (joined 28 September 1924);Dominican Republic (joined 28 September 1924);Dominican Republic (joined 28 September 1924);Dominican Republic (joined 28 September 1924);Dominican Republic (joined 28 September 1924);Dominican Republic (joined 28 September 1924);Dominican Republic (joined 28 September 1924);Dominican Republic (joined 28 September 1924);Dominican Republic (joined 28 September 1924);Dominican Republic (joined 28 September 1924);Dominican Republic (joined 28 September 1924);Dominican Republic (joined 28 September 1924);Dominican Republic (joined 28 September 1924);Dominican Republic (joined 28 September 1924);Dominican Republic (joined 28 September 1924);Dominican Republic (joined 28 September 1924);Dominican Republic (joined 28 September 1924);Dominican Republic (joined 28 September 1924);Dominican Republic (joined 28 September 1924);Dominican Republic (joined 28 September 1924);Dominican Republic (joined 28 September 1924)
;;;;;;"Germany (joined 8 September 1926; withdrew 19 October 1933)";"Germany (joined 8 September 1926; withdrew 19 October 1933)";"Germany (joined 8 September 1926; withdrew 19 October 1933)";"Germany (joined 8 September 1926; withdrew 19 October 1933)";"Germany (joined 8 September 1926; withdrew 19 October 1933)";"Germany (joined 8 September 1926; withdrew 19 October 1933)";"Germany (joined 8 September 1926; withdrew 19 October 1933)";"Germany (joined 8 September 1926; withdrew 19 October 1933)";;;;;;;;;;;;;;;
;;;;;;;;;;;Mexico (joined 9 September 1931, and is declared member 12 September 1931);Mexico (joined 9 September 1931, and is declared member 12 September 1931);Mexico (joined 9 September 1931, and is declared member 12 September 1931);Mexico (joined 9 September 1931, and is declared member 12 September 1931);Mexico (joined 9 September 1931, and is declared member 12 September 1931);Mexico (joined 9 September 1931, and is declared member 12 September 1931);Mexico (joined 9 September 1931, and is declared member 12 September 1931);Mexico (joined 9 September 1931, and is declared member 12 September 1931);Mexico (joined 9 September 1931, and is declared member 12 September 1931);Mexico (joined 9 September 1931, and is declared member 12 September 1931);Mexico (joined 9 September 1931, and is declared member 12 September 1931);Mexico (joined 9 September 1931, and is declared member 12 September 1931);Mexico (joined 9 September 1931, and is declared member 12 September 1931);Mexico (joined 9 September 1931, and is declared member 12 September 1931);Mexico (joined 9 September 1931, and is declared member 12 September 1931);Mexico (joined 9 September 1931, and is declared member 12 September 1931);Mexico (joined 9 September 1931, and is declared member 12 September 1931);Mexico (joined 9 September 1931, and is declared member 12 September 1931)
;;;;;;;;;;;; Turkey (joined 18 July 1932); Turkey (joined 18 July 1932); Turkey (joined 18 July 1932); Turkey (joined 18 July 1932); Turkey (joined 18 July 1932); Turkey (joined 18 July 1932); Turkey (joined 18 July 1932); Turkey (joined 18 July 1932); Turkey (joined 18 July 1932); Turkey (joined 18 July 1932); Turkey (joined 18 July 1932); Turkey (joined 18 July 1932); Turkey (joined 18 July 1932); Turkey (joined 18 July 1932); Turkey (joined 18 July 1932); Turkey (joined 18 July 1932); Turkey (joined 18 July 1932)
;;;;;;;;;;;; Kingdom of Iraq (joined 3 October 1932); Kingdom of Iraq (joined 3 October 1932); Kingdom of Iraq (joined 3 October 1932); Kingdom of Iraq (joined 3 October 1932); Kingdom of Iraq (joined 3 October 1932); Kingdom of Iraq (joined 3 October 1932); Kingdom of Iraq (joined 3 October 1932); Kingdom of Iraq (joined 3 October 1932); Kingdom of Iraq (joined 3 October 1932); Kingdom of Iraq (joined 3 October 1932); Kingdom of Iraq (joined 3 October 1932); Kingdom of Iraq (joined 3 October 1932); Kingdom of Iraq (joined 3 October 1932); Kingdom of Iraq (joined 3 October 1932); Kingdom of Iraq (joined 3 October 1932); Kingdom of Iraq (joined 3 October 1932); Kingdom of Iraq (joined 3 October 1932)
;;;;;;;;;;;;;;"Union of Soviet Socialist Republics (joined 18 September 1934; expelled 14 December 1939)";"Union of Soviet Socialist Republics (joined 18 September 1934; expelled 14 December 1939)";"Union of Soviet Socialist Republics (joined 18 September 1934; expelled 14 December 1939)";"Union of Soviet Socialist Republics (joined 18 September 1934; expelled 14 December 1939)";"Union of Soviet Socialist Republics (joined 18 September 1934; expelled 14 December 1939)";"Union of Soviet Socialist Republics (joined 18 September 1934; expelled 14 December 1939)";;;;;;;;;
;;;;;;;;;;;;;; Kingdom of Afghanistan (joined 27 September 1934); Kingdom of Afghanistan (joined 27 September 1934); Kingdom of Afghanistan (joined 27 September 1934); Kingdom of Afghanistan (joined 27 September 1934); Kingdom of Afghanistan (joined 27 September 1934); Kingdom of Afghanistan (joined 27 September 1934); Kingdom of Afghanistan (joined 27 September 1934); Kingdom of Afghanistan (joined 27 September 1934); Kingdom of Afghanistan (joined 27 September 1934); Kingdom of Afghanistan (joined 27 September 1934); Kingdom of Afghanistan (joined 27 September 1934); Kingdom of Afghanistan (joined 27 September 1934); Kingdom of Afghanistan (joined 27 September 1934); Kingdom of Afghanistan (joined 27 September 1934); Kingdom of Afghanistan (joined 27 September 1934)
;;;;;;;;;;;;;; Ecuador (joined 28 September 1934); Ecuador (joined 28 September 1934); Ecuador (joined 28 September 1934); Ecuador (joined 28 September 1934); Ecuador (joined 28 September 1934); Ecuador (joined 28 September 1934); Ecuador (joined 28 September 1934); Ecuador (joined 28 September 1934); Ecuador (joined 28 September 1934); Ecuador (joined 28 September 1934); Ecuador (joined 28 September 1934); Ecuador (joined 28 September 1934); Ecuador (joined 28 September 1934); Ecuador (joined 28 September 1934); Ecuador (joined 28 September 1934)
;;;;;;;;;;;;;;;;; Kingdom of Egypt (joined 26 May 1937); Kingdom of Egypt (joined 26 May 1937); Kingdom of Egypt (joined 26 May 1937); Kingdom of Egypt (joined 26 May 1937); Kingdom of Egypt (joined 26 May 1937); Kingdom of Egypt (joined 26 May 1937); Kingdom of Egypt (joined 26 May 1937); Kingdom of Egypt (joined 26 May 1937); Kingdom of Egypt (joined 26 May 1937); Kingdom of Egypt (joined 26 May 1937); Kingdom of Egypt (joined 26 May 1937); Kingdom of Egypt (joined 26 May 1937)
